Tlei_v1.17230-RA	OG0012072	Description=WD repeat-containing protein RUP2	Aco010278	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_WD_repeat-containing_protein_RUP2
Tlei_v1.22696-RA	OG0000323	Description=probable aquaporin NIP-type	Aco023062	aquaporin_reg, 02_Aquaporins
Tlei_v1.08790-RA	OG0000323	Description=aquaporin NIP1-1-like	Aco023062	aquaporin_reg, 02_Aquaporins
Tlei_v1.06846-RA	OG0000323	Description=Aquaporin NIP1-1	Aco023062	aquaporin_reg, 02_Aquaporins
Tlei_v1.18427-RA	OG0000320	Description=glyceraldehyde-3-phosphate dehydrogenase, cytosolic	Aco007469	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.04745-RA	OG0000320	Description=glyceraldehyde-3-phosphate dehydrogenase 2, cytosolic	Aco007469	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19912-RA	OG0000320	Description=glyceraldehyde-3-phosphate dehydrogenase 2, cytosolic	Aco007469	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21987-RA	OG0000320	Description=glyceraldehyde-3-phosphate dehydrogenase 2, cytosolic	Aco007469	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30143-RA	OG0001330	Description=pyruvate decarboxylase 1	Aco012481	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.09940-RA	OG0001330	Description=pyruvate decarboxylase 1	Aco012481	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28124-RA	OG0001331	Description=pyruvate kinase, cytosolic isozyme	Aco006253	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.15809-RA	OG0010380	Description=sphingoid long-chain bases kinase 1 isoform X1	Aco007561	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.15799-RA	OG0010383	Description=aldehyde dehydrogenase family 3 member F1	Aco007570	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.18208-RA	OG0012720	Description=putative glycerol-3-phosphate transporter 1	Aco013253	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.13801-RA	OG0015212	Description=NAD(P)H-quinone oxidoreductase subunit L, chloroplastic	Aco019116	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.10869-RA	OG0013098	Description=neurofilament medium polypeptide-like	Aco013744	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27649-RA	OG0005333	Description=glucan endo-1,3-beta-glucosidase 5	Aco017062	pos_selection_CAM_shifts
Tlei_v1.23733-RA	OG0011526	Description=15-cis-phytoene desaturase, chloroplastic/chromoplastic	Aco009587	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03708-RA	OG0013670	Description=V-type proton ATPase subunit a3	Aco014055	malateTransferase_Assimilation_Carbohydrates, 03_VATPase
Tlei_v1.03701-RA	OG0013675	Description=NDR1/HIN1-like protein 1	Aco014063	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.28500-RA	OG0001525	Description=gamma-aminobutyrate transaminase 1, mitochondrial	Aco007465	Diff_expressed_CAMC3
Tlei_v1.21928-RA	OG0003421	Description=peroxidase 55-like	Aco004613	Diff_expressed_CAMC3
Tlei_v1.28282-RA	OG0010014	Description=Glycerophosphodiester phosphodiesterase GDPDL7	Aco006406	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30162-RA	OG0006784	Description=probable 2-oxoglutarate-dependent dioxygenase At3g111800 isoform X2	Aco001560	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.03889-RA	OG0009813	Description=probable aquaporin PIP2-6	Aco010390	aquaporin_reg, 02_Aquaporins
Tlei_v1.03882-RA	OG0009810	Description=glycerate dehydrogenase	Aco010381	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.02421-RA	OG0006432	Description=NDR1/HIN1-like protein 26	Aco002055	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.02776-RA	OG0004454	Description=isoamylase 2, chloroplastic	Aco027955	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.29781-RA	OG0000497	Description=Sodium/hydrogen exchanger 2	Aco026063	stomata_func, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_NHX1/NHX2_01b_Abscisic_acid_signal
Tlei_v1.30894-RA	OG0000497	Description=Sodium/hydrogen exchanger 2	Aco026063	stomata_func, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_NHX1/NHX2_01b_Abscisic_acid_signal
Tlei_v1.10791-RA	OG0000497	Description=Sodium/hydrogen exchanger 2	Aco026063	stomata_func, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_NHX1/NHX2_01b_Abscisic_acid_signal
Tlei_v1.29498-RA	OG0014395	Description=F-box/kelch-repeat protein SKIP25	Aco016014	Diff_expressed_CAMC3
Tlei_v1.28528-RA	OG0015708	Description=3-isopropylmalate dehydrogenase 2, chloroplastic-like	Aco014810	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28516-RA	OG0015703	Description=imidazoleglycerol-phosphate dehydratase	Aco014801	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.22128-RA	OG0015474	Description=auxin response factor 17-like	Aco017701	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.25550-RA	OG0008868	Description=plastidial pyruvate kinase 2	Aco006068	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26244-RA	OG0014037	Description=auxin response factor 2A-like isoform X1	Aco015073	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.29954-RA	OG0001319	Description=ATP-citrate synthase beta chain protein 1	Aco001770	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01864-RA	OG0001319	Description=ATP-citrate synthase beta chain protein 1	Aco001770	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.01953-RA	OG0001316	Description=UDP-glucuronic acid decarboxylase 2-like	Aco001853	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30228-RA	OG0001316	Description=UDP-glucuronic acid decarboxylase 1-like	Aco001853	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30070-RA	OG0006841	Description=Mitochondrial ATP synthase D chain-related protein	Aco001651	Diff_expressed_CAMC3
Tlei_v1.20813-RA	OG0009372	Description=2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial isoform X2	Aco007928	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.07896-RA	OG0014303	Description=Phosphoenolpyruvate carboxylase 4	Aco016429	CAM-related_Acomosus_Ming2015, 00_#12_10_Glucogenesis_specific_dayC3
Tlei_v1.27893-RA	OG0004941	Description=Protein plastid transcriptionally active 16, chloroplastic	Aco021597	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03822-RA	OG0013614	Description=auxin response factor 18-like isoform X1	Aco013950	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.03813-RA	OG0013615	Description=aldo-keto reductase family 4 member C10-like	Aco013959	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03814-RA	OG0013618	Description=1-acyl-sn-glycerol-3-phosphate acyltransferase 1, chloroplastic	Aco013958	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.00906-RA	OG0017878	Description=protein TIFY 10a	Aco018982	circadian_metabolism_Wai2017, 09_Circadian_clock
Tlei_v1.23871-RA	OG0011589	Description=protein TIFY 4B isoform X2	Aco009689	malateTransferase_Assimilation_Carbohydrates, 09_Circadian_clock
Tlei_v1.19615-RA	OG0007304	Description=chitinase-like protein PB1E7.04c	Aco003224	pos_selection_CAM_shifts
Tlei_v1.03879-RA	OG0009804	Description=protein ECERIFERUM 1-like	Aco010377	Diff_expressed_CAMC3
Tlei_v1.28320-RA	OG0010030	Description=triphosphate tunel metalloenzyme 3-like	Aco006438	Diff_expressed_CAMC3
Tlei_v1.15704-RA	OG0010425	Description=NDR1/HIN1-like protein 6	Aco007670	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.31976-RA	OG0000515	Description=Protein YLS9	Aco018273	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.31509-RA	OG0000516	Description=NADPH--cytochrome P450 reductase-like	Aco007502	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28415-RA	OG0000516	Description=NADPH--cytochrome P450 reductase-like	Aco007502	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18466-RA	OG0000516	Description=NADPH--cytochrome P450 reductase-like	Aco007502	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12407-RA	OG0013827	Description=DNA repair protein RAD51 homolog 3 isoform X1	Aco015727	pos_selection_CAM_shifts
Tlei_v1.09951-RA	OG0011758	Description=cinnamoyl-CoA reductase 1	Aco012491	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26913-RA	OG0015371	Description=Xylulose 5-phosphate/phosphate translocator, chloroplastic	Aco017241	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19713-RA	OG0007363	Description=thioredoxin M-type, chloroplastic	Aco003312	gene_families_CAMC3
Tlei_v1.09344-RA	OG0009929	Description=Thioredoxin X, chloroplastic	Aco010641	gene_families_CAMC3
Tlei_v1.28549-RA	OG0015729	Description=auxin response factor 6-like isoform X1	Aco014831	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.01684-RA	OG0006131	Description=glycerophosphodiester phosphodiesterase GDPDL3-like	Aco000798	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.09706-RA	OG0013578	Description=probable pyruvate, phosphate dikinase regulatory protein, chloroplastic	Aco014488	pos_selection_CAM_shifts, CAM-related_Acomosus_Ming2015, 00_#38_Pentatricopeptide
Tlei_v1.01829-RA	OG0006687	Description=galactinol synthase 1-like	Aco031251	gene_families_CAMC3
Tlei_v1.19318-RA	OG0005799	Description=putative LOV domain-containing protein	Aco000252	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_flavin-bindind_kelch-repeat_fbox1
Tlei_v1.26265-RA	OG0014054	Description=glucose-6-phosphate 1-dehydrogenase, chloroplastic-like	Aco015090	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.16078-RA	OG0005172	Description=isocitrate dehydrogenase [NAD] catalytic subunit 5, mitochondrial	Aco030333	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30822-RA	OG0014735	Description=50S ribosomal protein L3, chloroplastic	Aco026485	pos_selection_CAM_shifts
Tlei_v1.09614-RB	OG0013557	Description=diacylglycerol kinase 5-like	Aco014417	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.32029-RA	OG0003639	Description=phosphatidate phosphatase PAH1	Aco007014	Diff_expressed_CAMC3, pos_selection_CAM_shifts
Tlei_v1.29156-RA	OG0017807	Description=calcium-dependent protein kinase 26	Aco022525	CAM-related_Acomosus_Ming2015, 00_#15_calciumdependent_protK
Tlei_v1.11057-RA	OG0010693	Description=heparanase-like protein 1	Aco008513	Diff_expressed_CAMC3
Tlei_v1.06973-RA	OG0009010	Description=aluminum-activated malate transporter 9-like	Aco010725	circadian_metabolism_Wai2017, 00_#W_MalateTransporter_ALMT_10_Glucogenesis_specific_dayC3
Tlei_v1.23798-RA	OG0011560	Description=protein SABRE isoform X1	Aco009645	Diff_expressed_CAMC3
Tlei_v1.22789-RA	OG0012185	Description=enoyl-[acyl-carrier-protein] reductase, mitochondrial	Aco012797	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19180-RA	OG0002915	Ontology_id=GO:0009523,GO:0015979	Aco000127	Diff_expressed_CAMC3
Tlei_v1.29293-RA	OG0004549	Description=BUD13 homolog	Aco022148	Diff_expressed_CAMC3
Tlei_v1.23364-RA	OG0015171	Description=threonine dehydratase biosynthetic, chloroplastic	Aco018440	Diff_expressed_CAMC3
Tlei_v1.12835-RA	OG0012865	Description=18 kDa seed maturation protein	Aco018517	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.21775-RA	OG0003405	Description=transcription factor bHLH144-like	Aco004489	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19857-RA	OG0007446	Description=Tetrapyrrole-binding protein, chloroplastic	Aco003456	Diff_expressed_CAMC3
Tlei_v1.04992-RA	OG0011366	Description=GDP-L-galactose phosphorylase 2-like	Aco011300	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21726-RA	OG0007984	Description=calcineurin B-like protein 7	Aco004447	Diff_expressed_CAMC3
Tlei_v1.21733-RA	OG0007980	Description=UV-stimulated scaffold protein A homolog	Aco004452	Diff_expressed_CAMC3
Tlei_v1.26877-RA	OG0013809	Description=aluminum-activated malate transporter 10-like	Aco015592	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.08884-RA	OG0000539	Description=V-type proton ATPase subunit H	Aco023631	malateTransferase_Assimilation_Carbohydrates, 03_VATPase
Tlei_v1.23186-RA	OG0000539	Description=probable V-type proton ATPase subunit H	Aco023631	malateTransferase_Assimilation_Carbohydrates, 03_VATPase
Tlei_v1.09633-RA	OG0001126	Description=probable NAD(P)H dehydrogenase (quinone) FQR1-like 1	Aco014895	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.02490-RA	OG0001126	Description=probable NAD(P)H dehydrogenase (quinone) FQR1-like 1	Aco014895	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21117-RA	OG0001122	Description=probable aldo-keto reductase 2	Aco028555	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21115-RA	OG0001122	Description=probable aldo-keto reductase 2	Aco028555	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28867-RA	OG0010572	Description=sucrose transport protein SUT4 isoform X1	Aco009281	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28857-RA	OG0010570	Description=Thioredoxin M1, chloroplastic	Aco009291	Diff_expressed_CAMC3, gene_families_CAMC3
Tlei_v1.28850-RA	OG0010574	Description=methionine adenosyltransferase 2 subunit beta	Aco009299	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.29772-RA	OG0003183	Description=momilactone A synthase-like	Aco001945	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.29765-RA	OG0003184	Description=4-alpha-glucanotransferase DPE2	Aco001954	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.15709-RA	OG0003982	Description=probable leucine-rich repeat receptor-like protein kinase At1g68400	Aco007664	Diff_expressed_CAMC3
Tlei_v1.26980-RA	OG0001721	Description=6-phosphogluconate dehydrogenase, decarboxylating 1	Aco015977	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.29471-RA	OG0001721	Description=6-phosphogluconate dehydrogenase, decarboxylating 1	Aco015977	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26354-RA	OG0001724	Description=F-box/FBD/LRR-repeat protein At1g13570-like	Aco017324	Diff_expressed_CAMC3
Tlei_v1.12590-RA	OG0010918	Description=Auxin response factor 18	Aco008955	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.12582-RA	OG0010912	Description=photosynthetic NDH subunit of lumenal location 3, chloroplastic-like	Aco008947	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.06116-RA	OG0014077	Description=F-box protein At1g55000	Aco021148	Diff_expressed_CAMC3
Tlei_v1.08421-RA	OG0008537	Description=thioredoxin-like protein HCF164, chloroplastic	Aco004946	gene_families_CAMC3
Tlei_v1.24048-RA	OG0003619	Description=late embryogenesis abundant protein 1-like	Aco010827	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.25399-RA	OG0001447	Description=Aldehyde dehydrogenase family 2 member C4	Aco005931	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.25401-RA	OG0001447	Description=aldehyde dehydrogenase family 2 member C4	Aco005931	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.14216-RA	OG0011096	Description=Protein SRG1	Aco011531	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.14215-RA	OG0011095	Description=glycerol kinase	Aco011530	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.17090-RA	OG0011998	Description=Late embryogenesis abundant protein family protein	Aco010134	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.23777-RA	OG0011546	Description=late embryogenesis abundant protein D-29-like	Aco009627	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.15713-RB	OG0010426	Description=predicted protein	Aco007659	Diff_expressed_CAMC3
Tlei_v1.20694-RA	OG0009422	Description=small G protein signaling modulator 1-like isoform X1	Aco008037	gene_families_CAMC3
Tlei_v1.21318-RA	OG0016014	Description=casein kinase II subunit beta-1	Aco017767	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_casein_kinase2_subunit_beta
Tlei_v1.14731-RA	OG0012848	Description=B3 domain-containing protein	Aco016654	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.25170-RA	OG0000439	Description=callose synthase 7-like	Aco025277	Diff_expressed_CAMC3
Tlei_v1.28954-RA	OG0000439	Description=callose synthase 3-like	Aco025277	Diff_expressed_CAMC3
Tlei_v1.14720-RA	OG0000439	Description=Callose synthase 3	Aco025277	Diff_expressed_CAMC3
Tlei_v1.29533-RA	OG0000431	Description=germin-like protein 5-1	Aco006394	Diff_expressed_CAMC3
Tlei_v1.28270-RA	OG0000431	Description=Germin-like protein 5-1	Aco006394	Diff_expressed_CAMC3
Tlei_v1.28272-RA	OG0000431	Description=germin-like protein 5-1	Aco006394	Diff_expressed_CAMC3
Tlei_v1.00016-RA	OG0012531	Description=auxin response factor 19-like	Aco012234	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.29978-RA	OG0003162	Description=galactinol synthase 1-like	Aco001744	gene_families_CAMC3
Tlei_v1.10131-RA	OG0011840	Description=NDR1/HIN1-like protein 13	Aco012641	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.31124-RA	OG0009131	Description=Cation/H(+) antiporter 15	Aco007085	Diff_expressed_CAMC3, pos_selection_CAM_shifts
Tlei_v1.22459-RA	OG0004089	Description=flagellar radial spoke protein 5	Aco026809	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23020-RA	OG0015324	Description=sodium/hydrogen exchanger 8	Aco025560	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.02116-RA	OG0006535	Description=phospholipase A1-Igamma1, chloroplastic-like	Aco002305	Diff_expressed_CAMC3
Tlei_v1.15990-RA	OG0004667	Description=Glycerol-3-phosphate dehydrogenase [NAD(+)]	Aco013517	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.02332-RA	OG0001933	Description=Phosphoglycerate kinase, chloroplastic	Aco006606	Diff_expressed_CAMC3
Tlei_v1.18419-RA	OG0001933	Description=Phosphoglycerate kinase, cytosolic	Aco006606	Diff_expressed_CAMC3
Tlei_v1.00085-RA	OG0012498	Description=Late embryogenesis abundant protein	Aco012160	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.12155-RA	OG0002712	Description=Late embryogenesis abundant protein	Aco020155	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.24242-RA	OG0000578	Description=long chain acyl-CoA synthetase 4-like	Aco005505	pos_selection_CAM_shifts
Tlei_v1.25572-RA	OG0000578	Description=long chain acyl-CoA synthetase 4-like	Aco005505	pos_selection_CAM_shifts
Tlei_v1.30665-RA	OG0000578	Description=long chain acyl-CoA synthetase 4-like	Aco005505	pos_selection_CAM_shifts
Tlei_v1.19789-RA	OG0000417	Description=putative 12-oxophytodienoate reductase 5	Aco003430	Diff_expressed_CAMC3
Tlei_v1.19788-RA	OG0000417	Description=putative 12-oxophytodienoate reductase 5	Aco003430	Diff_expressed_CAMC3
Tlei_v1.19785-RA	OG0000417	Description=12-oxophytodienoate reductase 1-like	Aco003430	Diff_expressed_CAMC3
Tlei_v1.01363-RB	OG0003007	Description=chlorophyll a-b binding protein 4, chloroplastic	Aco001089	malateTransferase_Assimilation_Carbohydrates, 05_Chloroplasts_activity
Tlei_v1.28943-RA	OG0010534	Description=Sucrose synthase 7	Aco009217	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03490-RA	OG0011661	Description=Phosphoinositide phospholipase C 6	Aco011047	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Phospholipase_C
Tlei_v1.19763-RA	OG0007394	Description=glycerophosphodiester phosphodiesterase GDPD4 isoform X1	Aco003363	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19758-RA	OG0007392	Description=auxin response factor 7	Aco003358	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.18100-RA	OG0011254	Description=GDP-mannose 4,6 dehydratase 1-like	Aco025405	Diff_expressed_CAMC3
Tlei_v1.25535-RA	OG0001423	Description=late embryogenesis abundant protein Lea14-A	Aco006056	Diff_expressed_CAMC3, draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.20596-RA	OG0001397	Description=isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial	Aco024224	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21823-RA	OG0001397	Description=isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial isoform X1	Aco024224	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21671-RA	OG0001393	Description=arabinogalactan peptide 16-like	Aco010740	Diff_expressed_CAMC3
Tlei_v1.06994-RA	OG0001393	Description=arabinogalactan peptide 16-like	Aco010740	Diff_expressed_CAMC3
Tlei_v1.02173-RA	OG0006514	Description=Pyruvate kinase isozyme A, chloroplastic	Aco002248	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18385-RA	OG0010328	Description=BTB/POZ domain-containing protein At1g30440	Aco007441	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_RootPhototropism2
Tlei_v1.22835-RA	OG0012988	Description=Protein TIC 62, chloroplastic	Aco015842	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.00963-RA	OG0002523	Description=pentatricopeptide repeat-containing protein At1g09900-like	Aco020616	pos_selection_CAM_shifts
Tlei_v1.16099-RA	OG0000601	Description=V-type proton ATPase subunit c1	Aco014555	Diff_expressed_CAMC3, 03_VATPase
Tlei_v1.05091-RA	OG0000601	Description=V-type proton ATPase 16 kDa proteolipid subunit	Aco014555	Diff_expressed_CAMC3, 03_VATPase
Tlei_v1.01160-RA	OG0006357	Description=serine/threonine-protein kinase PEPKR2	Aco001261	CAM-related_Acomosus_Ming2015, 00_#16_calciumdependent_protK
Tlei_v1.27298-RA	OG0012613	Description=hypothetical protein ACMD2_10443	Aco011960	Diff_expressed_CAMC3
Tlei_v1.09649-RA	OG0004853	Description=photosynthetic NDH subunit of lumenal location 3, chloroplastic	Aco014452	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.23795-RA	OG0011563	Description=glucose-1-phosphate adenylyltransferase large subunit 3, chloroplastic/amyloplastic	Aco009644	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.30385-RA	OG0016614	Description=DnaJ subfamily B member 12	Aco000648	pos_selection_CAM_shifts
Tlei_v1.21418-RA	OG0014962	Description=Syntaxin-124	Aco014352	circadian_metabolism_Wai2017, 00_#W_StomatalMovement_Syntaxin_plant_121
Tlei_v1.16808-RA	OG0014592	Description=aspartic proteinase nepenthesin-1-like	Aco014770	pos_selection_CAM_shifts
Tlei_v1.03522-RA	OG0011647	Description=CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	Aco011011	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03521-RA	OG0011644	Description=two-component response regulator-like PRR73	Aco011012	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_Pseudo-response_regulator7
Tlei_v1.24349-RA	OG0008204	Description=predicted protein	Aco005399	pos_selection_CAM_shifts
Tlei_v1.21505-RA	OG0001743	Description=probable F-box protein At4g22030	Aco015199	gene_families_CAMC3
Tlei_v1.21498-RA	OG0001743	Description=probable F-box protein At4g22030	Aco015199	gene_families_CAMC3
Tlei_v1.31003-RA	OG0009177	Description=NDR1/HIN1-like protein 13	Aco007198	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.07937-RA	OG0014280	Description=pfkB-like carbohydrate kinase family protein	Aco016390	Diff_expressed_CAMC3, glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.30674-RA	OG0005873	Description=GDSL esterase/lipase At4g01130	Aco000352	circadian_metabolism_Wai2017, 00_#W_ProtonPump_VHA-E
Tlei_v1.29731-RA	OG0006995	Description=sanguinarine reductase	Aco001976	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28228-RA	OG0000629	Description=sucrose synthase 4	Aco024370	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.13770-RA	OG0000629	Description=Sucrose synthase 2	Aco024370	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.04787-RA	OG0004832	Description=V-type proton ATPase subunit C	Aco018567	circadian_metabolism_Wai2017, 00_#W_ProtonPump_VHA-C_03_VATPase
Tlei_v1.30239-RA	OG0006742	Description=zinc finger protein ZAT12-like	Aco001482	Diff_expressed_CAMC3
Tlei_v1.20437-RA	OG0014770	Description=Receptor like protein kinase S.2	Aco024279	Diff_expressed_CAMC3
Tlei_v1.24237-RA	OG0016849	Description=abscisic acid receptor PYL8-like	Aco005513	Diff_expressed_CAMC3, stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.31375-RB	OG0009579	Description=berberine bridge enzyme-like 18	Aco008394	pos_selection_CAM_shifts
Tlei_v1.03552-RA	OG0011621	Description=Aquaporin TIP1-3	Aco010977	aquaporin_reg, 02_Aquaporins
Tlei_v1.03549-RA	OG0011628	Description=psbP-like protein 1, chloroplastic	Aco010980	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.03079-RA	OG0000813	Description=glucose-1-phosphate adenylyltransferase large subunit 1-like	Aco013633	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03113-RA	OG0000813	Description=glucose-1-phosphate adenylyltransferase large subunit 1-like	Aco013633	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03080-RA	OG0000813	Description=glucose-1-phosphate adenylyltransferase large subunit 1-like	Aco013633	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03037-RA	OG0000813	Description=glucose-1-phosphate adenylyltransferase large subunit 1-like	Aco013633	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
